ts_code,ann_date,name,gender,edu,national,birthday,position,biz_key
000001.SZ,20180130,王春汉,M,专科,中国,1951,委员会成员:提名委员会委员(20140121~20191106);委员会成员:提名委员会主席(20160811~20191106);委员会成员:审计委员会委员(20140121~20191106),王春汉|M|1951|中国
000001.SZ,20180130,王松奇,M,博士,中国,1952,委员会成员:战略委员会委员(20140121~20191106),王松奇|M|1952|中国
000001.SZ,20180130,韩小京,M,硕士,中国,1955,委员会成员:薪酬与考核委员会委员(20140121~20191106);委员会成员:薪酬与考核委员会主席(20140121~20191106);委员会成员:提名委员会委员(20140121~20191106),韩小京|M|1955|中国
000001.SZ,20180405,何之江,M,硕士,中国,1965,高管:副行长(20170513~20180405),何之江|M|1965|中国
000001.SZ,20180816,杨志群,M,博士,中国,1970,高管:副行长(20180815~至今),杨志群|M|1970|中国
000001.SZ,20190309,吴鹏,M,博士,中国,1965,高管:副行长(20110817~20190309),吴鹏|M|1965|中国
000001.SZ,20190604,姚贵平,M,本科,中国,1961,董事会成员:执行董事(20170629~20190604);委员会成员:战略委员会委员(20180129~20190604);高管:副行长(20180815~20190604),姚贵平|M|1961|中国
000001.SZ,20191108,姚波,M,硕士,中国,1971,董事会成员:非执行董事(20100617~20221109);委员会成员:战略委员会委员(20101227~20221109);委员会成员:审计委员会委员(20110525~20221109),姚波|M|1971|中国
000001.SZ,20191108,杨如生,M,硕士,中国,196802,委员会成员:薪酬与考核委员会委员(20161107~20221109);董事会成员:独立董事(20161107~20221109);委员会成员:审计委员会委员(20161107~20221109);委员会成员:审计委员会主席(20161107~20221109),杨如生|M|196802|中国
000001.SZ,20191108,艾春荣,M,博士,中国,1962,委员会成员:提名委员会委员(20191107~20221109),艾春荣|M|1962|中国
000001.SZ,20191108,蔡洪滨,M,博士,中国,196711,委员会成员:薪酬与考核委员会委员(20191107~20221109);委员会成员:薪酬与考核委员会主席(20191107~20221109);董事会成员:独立董事(20191107~20221109);委员会成员:审计委员会委员(20191107~20221109),蔡洪滨|M|196711|中国
