ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type,biz_key
000001.SZ,20251025,20250930,深圳中电投资有限公司,62523366,0.3222,0.3222,0.0,投资公司,深圳中电投资有限公司|投资公司
000001.SZ,20251025,20250930,中国银行股份有限公司-嘉实沪深300交易型开放式指数证券投资基金,76805493,0.3958,0.3958,-1069299.0,开放式投资基金,中国银行股份有限公司-嘉实沪深300交易型开放式指数证券投资基金|开放式投资基金
000001.SZ,20251025,20250930,中国建设银行股份有限公司-易方达沪深300交易型开放式指数发起式证券投资基金,119417444,0.6154,0.6154,-3801500.0,开放式投资基金,中国建设银行股份有限公司-易方达沪深300交易型开放式指数发起式证券投资基金|开放式投资基金
000001.SZ,20251025,20250930,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,165364503,0.8521,0.8521,-7104500.0,开放式投资基金,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金|开放式投资基金
000001.SZ,20251025,20250930,中国平安保险(集团)股份有限公司-集团本级-自有资金,9618540236,49.565,49.5658,0.0,金融机构—保险公司,中国平安保险(集团)股份有限公司-集团本级-自有资金|金融机构—保险公司
000001.SZ,20251025,20250930,中国证券金融股份有限公司,429232688,2.2119,2.2119,0.0,金融机构—证券公司,中国证券金融股份有限公司|金融机构—证券公司
000001.SZ,20251025,20250930,中国工商银行股份有限公司-华夏沪深300交易型开放式指数证券投资基金,89113177,0.4592,0.4592,-1238600.0,开放式投资基金,中国工商银行股份有限公司-华夏沪深300交易型开放式指数证券投资基金|开放式投资基金
000001.SZ,20251025,20250930,中国平安人寿保险股份有限公司-自有资金,1186100488,6.1121,6.1122,0.0,金融机构—保险公司,中国平安人寿保险股份有限公司-自有资金|金融机构—保险公司
000001.SZ,20251025,20250930,香港中央结算有限公司,707394198,3.6453,3.6453,-121720333.0,一般企业,香港中央结算有限公司|一般企业
000001.SZ,20251025,20250930,中国平安人寿保险股份有限公司-传统-普通保险产品,440478714,2.2698,2.2699,0.0,保险投资组合,中国平安人寿保险股份有限公司-传统-普通保险产品|保险投资组合
